Cell	ImmClassifier_prediction
cell_596	L:T:CD4:CM
cell_619	L:T:CD4:TRM
cell_393	L:NK
cell_400	M:cDC
cell_473	L:T:CD4:TRM
cell_495	M:cDC
cell_533	M:Mono:Mac
cell_545	M:Mono:Mac
cell_590	M:pDC
cell_643	L:T:CD4:Treg
cell_471	L:NK
cell_488	L:NK
cell_517	L:NK
cell_534	L:NK
cell_588	L:NK
cell_680	L:NK
cell_413	L:NK
cell_462	L:T:CD8:EMRA
cell_478	L:T:CD8:EM
cell_527	L:NK
cell_555	L:NK
cell_434	M:Neu
cell_532	M:Neu
cell_362	L:T:CD4:Treg
cell_385	L:T:CD4:Treg
cell_433	L:T:CD4:Treg
cell_475	L:T:CD4:Ex
cell_482	L:T:CD4:Treg
cell_600	L:T:CD4:Ex
cell_653	L:T:CD4:Ex
cell_656	L:T:CD4:Treg
cell_663	L:T:CD4:Treg
cell_679	L:T:CD4:Treg
cell_415	L:B:PC
cell_435	L:B
cell_529	L:B
cell_565	L:B
cell_603	L:B
cell_617	L:B
cell_624	L:B
cell_629	L:B
cell_632	L:B:PC
cell_714	L:B
cell_378	L:unconvT:MAIT
cell_554	L:T:CD4:EM
cell_655	L:T:CD4:Tfh
cell_374	L:NK
cell_404	L:unconvT:MAIT
cell_704	L:B
cell_438	L:T:CD4:EM
cell_483	L:T:CD4:Treg
cell_606	L:T:CD4:TRM
cell_698	L:T:CD4:Treg
cell_703	L:T:CD4:Naive
cell_466	L:T:CD4:TRM
cell_522	L:NK
cell_557	L:unconvT:MAIT
cell_627	L:NK
cell_652	L:T:CD8:TRM
cell_664	L:T:CD8:TRM
cell_406	L:NK
cell_422	L:NK
cell_494	L:NK
cell_500	M:Mega
cell_526	L:NK
cell_589	L:NK
cell_604	M:pDC
cell_654	L:NK
cell_369	M:Mono:Mac
cell_391	M:Neu
cell_492	M:Mono:Mac
cell_493	M:Mono:Mac
cell_599	M:Mono:Mac
cell_618	M:Mono:Mac
cell_428	L:B
cell_431	L:B:PC
cell_512	L:B
cell_610	L:B
cell_659	L:B
cell_677	L:B
cell_719	L:B
cell_452	L:T:CD4:Treg
cell_535	L:T:CD4:TRM
cell_578	L:T:CD4:Treg
cell_667	L:T:CD4:Naive
cell_684	L:T:CD4:Treg
cell_690	L:T:CD4:Treg
cell_407	M:Neu
cell_429	M:Mono:Mac
cell_476	M:Neu
cell_531	M:Mono:Mac
cell_552	M:Mono:Mac
cell_650	M:Neu
cell_467	M:Neu
cell_540	M:Neu
cell_562	M:Neu
cell_566	M:Neu
cell_579	M:Neu
cell_583	M:Neu
cell_701	M:Neu
cell_464	L:T:CD4:TRM
cell_507	M:Mast
cell_546	L:T:CD4:Treg
cell_556	L:T:CD4:TRM
cell_573	L:T:CD4:EM
cell_630	L:T:CD4:Treg
cell_642	L:T:CD4:EM
cell_661	L:T:CD4:Treg
cell_666	L:T:CD4:Treg
cell_685	M:cDC
cell_373	L:T:CD4:TRM
cell_424	M:Neu
cell_504	M:Mast
cell_696	M:Mast
cell_716	L:T:CD4:TRM
cell_717	L:T:CD4:Treg
cell_366	L:NK
cell_536	L:T:CD8:EM
cell_558	L:T:CD8:TRM
cell_571	L:T:CD8:TRM
cell_628	L:T:CD4:TRM
cell_669	L:T:CD8:TRM
cell_676	L:NK
cell_699	L:T:CD8:TRM
cell_700	L:unconvT:MAIT
cell_377	L:T:CD8:TRM
cell_403	L:T:CD4:Treg
cell_491	L:T:CD4:TRM
cell_575	L:B
cell_593	L:T:CD4:Treg
cell_612	L:T:CD4:Treg
cell_673	L:T:CD4:TRM
cell_720	L:T:CD4:Treg
cell_371	L:T:CD4:CM
cell_372	L:T:CD4:Treg
cell_412	L:T:CD4:TRM
cell_430	L:T:CD4:Naive
cell_450	L:T:CD4:Treg
cell_459	L:T:CD4:Naive
cell_525	L:T:CD4:CM
cell_543	L:T:CD4:Naive
cell_544	L:T:CD4:Treg
cell_559	L:T:CD4:TRM
cell_678	L:T:CD4:Treg
cell_497	L:unconvT:MAIT
cell_518	L:T:CD4:EM
cell_541	L:NK
cell_614	L:T:CD4:Treg
cell_405	L:T:CD8:TRM
cell_448	L:T:CD4:Treg
cell_509	L:T:CD4:Treg
cell_516	L:T:CD8:TRM
cell_528	L:NK
cell_547	L:T:CD4:TRM
cell_584	L:T:CD8:TRM
cell_611	L:T:CD8:Ex
cell_668	L:T:CD4:TRM
cell_686	L:T:CD4:Treg
cell_715	L:T:CD8:TRM
cell_364	L:NK
cell_432	L:NK
cell_472	L:NK
cell_506	L:NK
cell_597	L:NK
cell_649	L:NK
cell_658	L:NK
cell_688	L:NK
cell_425	L:T:CD4:Treg
cell_505	L:T:CD4:Treg
cell_561	L:T:CD4:Treg
cell_436	M:cDC
cell_469	L:T:CD4:Treg
cell_530	L:T:CD4:TRM
cell_363	L:T:CD4:Treg
cell_379	L:T:CD4:Treg
cell_421	L:T:CD4:Treg
cell_449	L:T:CD4:Treg
cell_455	L:T:CD4:Treg
cell_594	L:T:CD8:Ex
cell_595	L:T:CD4:TRM
cell_615	M:Mono:Mac
cell_644	L:T:CD4:Treg
cell_687	L:T:CD4:Treg
cell_713	L:T:CD4:Treg
cell_414	L:NK
cell_447	L:T:CD8:TRM
cell_474	L:NK
cell_671	L:unconvT:MAIT
cell_675	L:NK
cell_682	L:NK
cell_710	L:T:CD8:EM
cell_392	M:Neu
cell_427	M:Neu
cell_480	M:Neu
cell_484	M:Neu
cell_502	M:Neu
cell_519	M:Neu
cell_553	M:Neu
cell_574	M:Mono:Mac
cell_592	M:Neu
cell_702	M:Neu
cell_388	L:T:CD4:TRM
cell_508	L:T:CD4:Treg
cell_539	L:T:CD4:TRM
cell_582	L:B
cell_598	L:T:CD4:Treg
cell_613	L:T:CD4:TRM
cell_647	L:T:CD4:Treg
cell_386	M:Neu
cell_419	M:Neu
cell_445	M:Neu
cell_609	M:Neu
cell_672	M:Neu
