Cell	ImmClassifier_prediction
PTC118.0205	L:T:CD4:EM
PTC119.0205	L:T:CD8:Naive
PTC121.0205	L:T:CD8:Naive
PTC123.0205	L:T:CD8:EM
PTC124.0205	L:T:CD8:EMRA
PTC125.0205	L:T:CD8:EMRA
PTC128.0205	L:T:CD8:Naive
PTC129.0205	L:T:CD8:EMRA
PTC130.0205	L:T:CD8:EM
PTC131.0205	L:T:CD8:Naive
PTC132.0205	L:T:CD8:Naive
PTC133.0205	L:T:CD8:Naive
PTC134.0205	L:T:CD8:EM
PTC135.0205	L:T:CD8:Naive
PTC136.0205	L:T:CD8:Naive
PTC137.0205	L:T:CD8:Naive
PTC138.0205	L:T:CD4:Naive
PTC139.0205	L:T:CD8:Naive
PTC140.0205	L:T:CD8:Naive
PTC147.0205	L:T:CD8:EM
PTC148.0205	L:T:CD8:EM
PTC151.0205	L:T:CD8:Naive
PTC203.0205	L:T:CD8:Naive
PTC223.0205	L:T:CD8:EM
PTC30.0205	L:T:CD8:Naive
PTC31.0205	L:T:CD8:EM
PTC37.0205	L:NK
PTC40.0205	L:T:CD8:EMRA
PTC41.0205	L:T:CD8:EMRA
PTC42.0205	CD34
PTC43.0205	L:B
PTC44.0205	L:T:CD8:EM
PTC45.0205	L:NK
PTC46.0205	L:NK
PTC47.0205	L:T:CD4:Naive
PTC48.0205	L:unconvT:MAIT
PTC49.0205	L:T:CD8:EMRA
PTC50.0205	L:T:CD8:TRM
PTC52.0205	L:T:CD8:Ex
PTC53.0205	L:B
PTC54.0205	L:T:CD8:EM
PTC55.0205	L:T:CD8:EMRA
PTC57.0205	L:T:CD8:Naive
PTC58.0205	L:T:CD8:Naive
PTC59.0205	L:T:CD8:EM
PTC60.0205	L:T:CD8:EM
PTC61.0205	L:T:CD8:Naive
PTC62.0205	L:T:CD8:EM
PTC63.0205	L:T:CD8:Naive
PTC64.0205	L:NK
PTC65.0205	L:T:CD8:EM
PTC66.0205	L:T:CD8:EMRA
PTC80.0205	L:T:CD8:Naive
PTC81.0205	L:T:CD8:EM
PTC82.0205	L:T:CD8:EM
PTC83.0205	L:T:CD8:EM
PTC94.0205	L:T:CD8:EM
PTC95.0205	L:T:CD8:EM
PTC97.0205	L:T:CD8:EM
PTC98.0205	L:T:CD8:Naive
PTH11.0205	L:T:CD4:CM
PTH12.0205	L:T:CD4:Treg
PTH13.0205	L:T:CD4:CM
PTH21.0205	L:T:CD4:Treg
PTH22.0205	L:T:CD4:CM
PTH26.0205	L:T:CD4:Treg
PTH5.0205	L:T:CD4:TRM
PTS10.0205	L:T:CD4:Naive
PTS11.0205	L:T:CD4:Naive
PTS12.0205	L:T:CD4:Naive
PTS15.0205	L:B
PTS18.0205	L:T:CD4:CM
PTS19.0205	L:T:CD4:CM
PTS20.0205	L:T:CD4:Naive
PTS2.0205	L:T:CD4:Treg
PTS21.0205	L:T:CD4:CM
PTS22.0205	L:T:CD4:Naive
PTS23.0205	L:T:CD4:Naive
PTS24.0205	L:T:CD4:CM
PTS25.0205	L:T:CD4:CM
PTS26.0205	L:T:CD4:Naive
PTS29.0205	L:T:CD4:CM
PTS30.0205	L:T:CD4:CM
PTS3.0205	L:T:CD4:CM
PTS33.0205	L:T:CD4:Naive
PTS34.0205	L:T:CD4:Naive
PTS35.0205	L:B
PTS36.0205	L:T:CD4:Naive
PTS37.0205	L:T:CD4:Naive
PTS39.0205	L:T:CD4:CM
PTS40.0205	L:T:CD4:Naive
PTS41.0205	L:T:CD4:CM
PTS42.0205	L:T:CD4:Naive
PTS44.0205	L:T:CD4:Naive
PTS45.0205	L:T:CD4:CM
PTS46.0205	L:T:CD4:Naive
PTS47.0205	L:T:CD4:Naive
PTS48.0205	L:T:CD4:Naive
PTS50.0205	L:T:CD4:Naive
PTS51.0205	L:T:CD4:Naive
PTS52.0205	L:T:CD4:Naive
PTS53.0205	L:T:CD4:CM
PTS54.0205	L:T:CD4:Naive
PTS55.0205	L:T:CD4:CM
PTS57.0205	L:T:CD4:CM
PTS59.0205	L:T:CD4:Naive
PTS6.0205	L:T:CD4:CM
PTS62.0205	L:T:CD4:CM
PTS63.0205	L:T:CD4:Naive
PTS64.0205	L:T:CD4:Naive
PTS65.0205	L:T:CD4:Naive
PTS66.0205	L:T:CD4:Naive
PTS67.0205	L:T:CD4:CM
PTS70.0205	L:T:CD4:Naive
PTS7.0205	L:T:CD4:Naive
PTS71.0205	L:T:CD4:Naive
PTS9.0205	L:T:CD4:Treg
TTC101.0205	L:T:CD8:EM
TTC103.0205	L:T:CD8:EM
TTC104.0205	L:T:CD8:Naive
TTC105.0205	L:T:CD4:TRM
TTC106.0205	L:T:CD8:TRM
TTC108.0205	L:T:CD8:Ex
TTC109.0205	L:B:PC
TTC11.0205	L:T:CD8:TRM
TTC111.0205	L:T:CD8:TRM
TTC112.0205	L:T:CD8:TRM
TTC113.0205	L:T:CD8:EM
TTC114.0205	L:T:CD8:EM
TTC115.0205	L:T:CD8:EM
TTC116.0205	L:T:CD8:TRM
TTC117.0205	L:T:CD8:EM
TTC118.0205	L:T:CD8:EM
TTC119.0205	L:T:CD8:EM
TTC120.0205	L:T:CD8:EM
TTC12.0205	L:T:CD8:TRM
TTC121.0205	L:T:CD8:EM
TTC122.0205	L:T:CD8:EM
TTC123.0205	L:T:CD8:EM
TTC124.0205	L:T:CD8:TRM
TTC125.0205	L:T:CD8:TRM
TTC126.0205	L:T:CD8:Ex
TTC127.0205	L:T:CD8:TRM
TTC128.0205	L:T:CD8:EM
TTC129.0205	L:T:CD8:TRM
TTC130.0205	L:T:CD8:TRM
TTC13.0205	L:T:CD8:TRM
TTC131.0205	L:T:CD8:EM
TTC132.0205	L:T:CD8:Naive
TTC134.0205	L:T:CD8:TRM
TTC136.0205	L:T:CD8:EM
TTC137.0205	L:T:CD8:EM
TTC139.0205	L:T:CD8:EMRA
TTC140.0205	L:unconvT:MAIT
TTC141.0205	L:T:CD8:TRM
TTC142.0205	L:T:CD8:EM
TTC143.0205	M:Mega
TTC144.0205	L:T:CD8:EM
TTC16.0205	L:T:CD8:TRM
TTC17.0205	L:T:CD8:TRM
TTC19.0205	L:T:CD8:TRM
TTC20.0205	L:T:CD8:TRM
