Cell	ImmClassifier_prediction
HN26_P6_B08_S20_comb	CD34
HN26_P5_A09_S9_comb	CD34
HN26_P25_H01_S181_comb	CD34
HNSCC26_P24_B11_S311_comb	CD34
HN26_P6_F03_S63_comb	L:T:CD4:TRM
HN28_P6_G08_S176_comb	CD34
HN26_P26_A03_S291_comb	CD34
HN25_P23_A12_S204_comb	L:B:PC
HN26_P13_F01_S157_comb	CD34:HSC
HN25_P5_G12_S84_comb	L:T:CD4:TRM
HN26_P5_A07_S7_comb	CD34:HSC
HN25_P23_B02_S206_comb	L:T:CD4:CM
HN25_P5_B07_S19_comb	L:T:CD4:Naive
HN25_P5_H04_S88_comb	CD34
HN28_P15_C11_S323_comb	L:T:CD4:Naive
HNSCC26_P12_F08_S260_comb	CD34
HN28_P6_F12_S168_comb	L:T:CD4:TRM
HN26_P5_G06_S78_comb	L:T:CD4:Naive
HN28_P6_G11_S179_comb	L:T:CD4:TRM
HN26_P5_H04_S88_comb	L:T:CD4:Treg
HNSCC26_P24_B01_S301_comb	CD34
HN25_P24_D12_S144_comb	L:T:CD4:Naive
HN28_P15_C05_S317_comb	CD34
HNSCC26_P24_E02_S338_comb	CD34
HN25_P25_C10_S322_comb	CD34
HN28_P15_B05_S305_comb	CD34
HN28_P15_C07_S319_comb	CD34
HN28_P15_E02_S338_comb	CD34
HN26_P6_F08_S68_comb	L:B
HN25_P25_D09_S333_comb	L:T:CD4:CM
HN28_P6_F09_S165_comb	CD34
HN25_P23_A08_S200_comb	M:Mono:mDC
HN28_P6_C07_S127_comb	CD34
HN28_P15_F10_S358_comb	CD34
HN28_P6_H12_S192_comb	L:T:CD4:TRM
HN26_P6_F07_S67_comb	L:T:CD4:Treg
HNSCC26_P24_D12_S336_comb	CD34
HN26_P6_D05_S41_comb	CD34
HN25_P24_D09_S141_comb	L:B:PC
HN25_P24_C08_S128_comb	L:T:CD4:Naive
HN26_P25_D04_S136_comb	CD34
HN28_P15_D12_S336_comb	M:cDC
HN25_P5_B03_S15_comb	L:T:CD4:Treg
HN25_P25_F03_S351_comb	L:B:PC
HN25_P5_A09_S9_comb	CD34
HN26_P25_C03_S123_comb	CD34
HNSCC26_P24_B12_S312_comb	L:B
HNSCC26_P24_G05_S365_comb	CD34
HN25_P25_H06_S378_comb	CD34
HN26_P25_G05_S173_comb	CD34
HN26_P14_B11_S215_comb	CD34
HN28_P6_C02_S122_comb	L:T:CD4:Treg
HN28_P6_D06_S138_comb	L:T:CD4:TRM
HNSCC26_P24_B08_S308_comb	CD34
HN25_P5_D01_S37_comb	L:T:CD4:Treg
HN26_P6_H06_S90_comb	M:cDC
HN25_P5_H06_S90_comb	L:T:CD4:Naive
HN26_P26_E08_S344_comb	CD34
HNSCC26_P12_A02_S194_comb	L:T:CD4:Naive
HN26_P5_F05_S65_comb	L:T:CD4:Naive
HN25_P25_D05_S329_comb	CD34
HN26_P14_D10_S238_comb	CD34
HN26_P6_B07_S19_comb	L:B
HN26_P14_D06_S234_comb	CD34
HNSCC26_P24_F09_S357_comb	L:B
HN25_P25_A09_S297_comb	CD34
HN26_P25_F05_S161_comb	CD34
HN26_P5_E02_S50_comb	L:T:CD4:TRM
HNSCC26_P12_F11_S263_comb	CD34
HN26_P14_F05_S257_comb	L:T:CD4:Naive
HN25_P23_B03_S207_comb	L:T:CD4:Treg
HN26_P25_C04_S124_comb	CD34
HN28_P15_A07_S295_comb	M:cDC
HN26_P5_E12_S60_comb	L:T:CD4:TRM
HN25_P5_D07_S43_comb	M:Mast
HN25_P5_C09_S33_comb	L:B:PC
HN25_P25_E07_S343_comb	L:T:CD4:Ex
HN28_P15_E03_S339_comb	M:cDC
HN25_P5_C12_S36_comb	L:T:CD4:TRM
HNSCC26_P12_E03_S243_comb	CD34
HN28_P6_C11_S131_comb	CD34
HN25_P24_E04_S148_comb	CD34
HNSCC26_P12_G10_S274_comb	L:T:CD4:Naive
HN26_P13_E07_S151_comb	L:B
HN26_P13_H03_S183_comb	L:T:CD4:Ex
HN25_P5_C08_S32_comb	L:T:CD4:TRM
HN26_P14_F02_S254_comb	CD34
HNSCC26_P12_C07_S223_comb	L:T:CD4:Treg
HN25_P5_G02_S74_comb	L:T:CD4:CM
HNSCC26_P24_D11_S335_comb	L:B
HN25_P25_A03_S291_comb	CD34
HN25_P5_H12_S96_comb	CD34
HN26_P25_A05_S101_comb	CD34
HN26_P14_F03_S255_comb	CD34
HN25_P5_E08_S56_comb	L:T:CD4:Treg
HN28_P15_D02_S326_comb	L:T:CD4:CM
HN25_P5_D08_S44_comb	CD34
HN25_P25_F11_S359_comb	L:T:CD4:Naive
HN25_P23_E05_S245_comb	L:T:CD4:Ex
HN28_P15_G03_S363_comb	CD34
HN26_P26_G04_S364_comb	CD34
HN28_P6_H09_S189_comb	CD34
HNSCC26_P24_D04_S328_comb	CD34
HN25_P25_C08_S320_comb	CD34
HN26_P5_A06_S6_comb	M:cDC
HN28_P15_C12_S324_comb	CD34
HNSCC26_P12_H10_S286_comb	CD34
HN28_P15_D05_S329_comb	CD34
HN25_P5_A06_S6_comb	CD34
HN26_P14_C09_S225_comb	CD34
HN25_P5_H02_S86_comb	L:T:CD4:Treg
HN25_P5_A12_S12_comb	M:cDC
HN26_P14_G04_S268_comb	L:T:CD4:Treg
HN26_P6_E01_S49_comb	L:T:CD4:TRM
HN26_P14_D04_S232_comb	CD34
HN26_P26_F04_S352_comb	CD34
HN25_P23_F04_S256_comb	L:T:CD4:Naive
HN28_P6_A03_S99_comb	CD34
HNSCC26_P24_H06_S378_comb	CD34
HNSCC26_P24_A05_S293_comb	CD34:HSC
HN26_P14_E12_S252_comb	CD34
HN26_P26_B01_S301_comb	CD34:HSC
HNSCC26_P24_E01_S337_comb	CD34
HNSCC26_P12_D04_S232_comb	CD34
HN25_P23_C05_S221_comb	L:T:CD4:Naive
HNSCC26_P24_B02_S302_comb	L:B
HN28_P6_D10_S142_comb	L:B
HN26_P26_B09_S309_comb	CD34
HNSCC26_P12_D10_S238_comb	CD34
HN25_P23_H04_S280_comb	L:T:CD4:Treg
HN28_P6_F01_S157_comb	L:T:CD4:TRM
HN26_P5_G02_S74_comb	L:B
HN25_P23_H10_S286_comb	L:T:CD4:Naive
HN28_P6_B12_S120_comb	L:T:CD4:TRM
HN26_P13_F12_S168_comb	CD34
HN25_P25_C03_S315_comb	CD34
HN28_P15_E11_S347_comb	L:B:PC
HN26_P25_B05_S113_comb	CD34
HN28_P15_B03_S303_comb	L:B:PC
HN25_P24_G05_S173_comb	L:T:CD4:CM
HN26_P14_D03_S231_comb	CD34
HN26_P25_C07_S127_comb	CD34
HN25_P5_E04_S52_comb	L:T:CD4:TRM
HN28_P6_B11_S119_comb	L:T:CD4:Treg
HN26_P6_G04_S76_comb	L:T:CD4:EM
HN26_P14_A05_S197_comb	L:T:CD4:Ex
HN26_P25_B10_S118_comb	L:T:CD4:Treg
HN28_P6_G09_S177_comb	L:B
HN26_P5_E03_S51_comb	L:T:CD4:Treg
HN28_P15_D03_S327_comb	L:B:PC
HN25_P5_E07_S55_comb	L:T:CD4:Treg
HN28_P15_F09_S357_comb	M:cDC
HN26_P14_F10_S262_comb	CD34
HN26_P6_C01_S25_comb	L:T:CD4:TRM
HN25_P24_E10_S154_comb	CD34
HN28_P15_E01_S337_comb	M:cDC
HN26_P25_A08_S104_comb	L:B
HN25_P25_E02_S338_comb	CD34
HN26_P26_F02_S350_comb	L:B
HNSCC26_P12_A07_S199_comb	CD34
HN26_P5_G12_S84_comb	L:T:CD4:TRM
HN26_P26_C10_S322_comb	L:T:CD4:Naive
HN25_P24_F08_S164_comb	L:T:CD4:Naive
HN26_P5_H10_S94_comb	M:Neu
HN28_P15_H09_S381_comb	L:T:CD4:Naive
HN28_P15_G12_S372_comb	M:cDC
HN26_P26_B04_S304_comb	CD34
HN25_P24_G07_S175_comb	CD34
HN26_P25_F10_S166_comb	CD34
HN25_P23_C04_S220_comb	L:T:CD4:Naive
HN25_P23_H08_S284_comb	L:T:CD4:Naive
HN26_P13_E12_S156_comb	CD34
HN28_P6_B02_S110_comb	CD34
HN25_P5_C07_S31_comb	CD34
HN25_P24_B04_S112_comb	CD34
HN26_P6_H05_S89_comb	CD34
HN25_P5_H08_S92_comb	CD34
HN26_P14_G10_S274_comb	CD34:HSC
HN25_P24_B06_S114_comb	CD34
HN25_P23_G01_S265_comb	CD34
HN28_P6_H02_S182_comb	CD34
HNSCC26_P24_A07_S295_comb	CD34:HSC
HN26_P14_B03_S207_comb	CD34
HN28_P6_F07_S163_comb	CD34
HN25_P5_G03_S75_comb	CD34
HN26_P13_A11_S107_comb	M:cDC
HN25_P23_E06_S246_comb	L:T:CD4:Treg
HN28_P15_A04_S292_comb	L:T:CD4:Naive
HN25_P5_B10_S22_comb	L:T:CD4:TRM
HN28_P15_H05_S377_comb	M:cDC
HN25_P5_C02_S26_comb	L:T:CD4:CM
HN25_P23_D02_S230_comb	L:T:CD4:TRM
